County,FIPS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alachua County,12001,7077.0,7077.5,8315.9,8488.1,5185.8,6307.9,7137.5,7749.5,7655.3,7179.2,8055.5,7280.1,8122.3,7608.2,7406.5,6445.9,5605.6,4698.4
Baker County,12003,5683.6,4881.4,4968.8,6120.9,4075.3,6697.2,7753.6,7368.6,5911.1,5155.5,6369.3,5652.7,6461.7,4133.4,4269.1,4274.4,6639.3,6177.6
Bay County,12005,7937.8,7298.2,7889.8,9195.1,9205.8,8775.6,8989.1,9032.8,9832.9,10709.8,10504.0,9800.5,9657.8,9848.3,10370.6,9293.8,9420.8,9618.0
Bradford County,12007,2800.2,2921.6,2652.6,3182.5,3428.0,3310.8,6813.3,3360.8,3803.7,4006.2,4119.2,4387.1,4410.5,6039.4,8906.3,7668.0,6818.4,5807.4
Brevard County,12009,5314.2,5640.9,4844.7,5574.7,5892.3,6082.8,6289.0,6635.1,6655.7,6376.1,5997.5,5642.5,5082.8,5067.8,4451.8,4567.6,4350.3,3453.7
Broward County,12011,4877.6,4985.7,4791.9,4926.1,5178.6,5183.4,4786.3,4600.7,4842.9,4991.4,5164.6,4947.3,4616.2,4298.7,4328.3,4057.7,3955.1,3162.1
Calhoun County,12013,4892.4,2599.7,1467.3,5339.2,4610.4,6585.3,7443.1,4338.5,5519.7,4641.8,4130.0,4102.5,3708.6,2621.7,2363.2,3337.7,3488.2,2440.0
Charlotte County,12015,3887.6,3423.9,2571.5,4213.2,4418.9,4342.9,4309.3,5218.5,5409.4,6571.7,6370.5,5354.9,6214.2,6515.5,6003.4,6119.3,6377.6,5709.0
Citrus County,12017,3591.8,3565.8,3191.8,3634.9,4350.9,4015.0,5633.2,4608.9,5110.1,3743.8,3259.6,3804.8,4655.3,4382.9,3344.0,3810.2,3669.8,3139.9
Clay County,12019,5076.0,5405.0,5107.4,5324.9,5509.0,5133.6,5096.6,5884.8,5906.7,5752.2,6370.4,5171.5,4860.7,4624.3,4297.9,4049.4,3407.7,3282.0
Collier County,12021,6238.1,6346.4,5368.0,5068.9,5097.7,5563.7,5708.6,6092.7,6037.2,5826.7,5256.7,4355.7,3854.2,4028.3,3524.6,3343.5,2925.9,2733.8
Columbia County,12023,6615.7,6954.0,1971.2,5491.9,6659.0,6799.1,8560.4,7425.2,7482.1,7614.8,5644.2,5053.5,3460.5,5354.8,5672.6,4199.2,5294.4,3232.0
Miami Dade County,12086,7497.6,8237.3,7447.8,7430.1,6191.6,5787.0,6039.2,5456.5,5449.4,5367.6,6226.8,5940.5,5487.1,5178.9,5594.2,4861.7,4327.1,3572.4
