County,FIPS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alachua County,12001,16.19,16.19,28.58,30.30,-2.72,8.50,16.79,22.91,21.97,17.21,25.97,18.22,26.64,21.50,19.48,9.88,1.47,-7.60
Baker County,12003,2.25,-5.77,-4.89,6.63,-13.83,12.39,22.95,19.10,4.53,-3.03,9.11,1.95,10.04,-13.25,-11.89,-11.84,11.81,7.19
Bay County,12005,24.80,18.40,24.32,37.37,37.48,33.17,35.31,35.75,43.75,52.52,50.46,43.42,42.00,43.90,49.12,38.36,39.63,41.60
Bradford County,12007,-26.58,-25.37,-28.06,-22.76,-20.30,-21.47,13.55,-20.97,-16.55,-14.52,-13.39,-10.71,-10.48,5.81,34.48,22.10,13.60,3.49
Brevard County,12009,-1.44,1.83,-6.14,1.17,4.34,6.25,8.31,11.77,11.98,9.18,5.39,1.84,-3.75,-3.90,-10.06,-8.91,-11.08,-20.05
Broward County,12011,-5.81,-4.73,-6.66,-5.32,-2.80,-2.75,-6.72,-8.58,-6.15,-4.67,-2.94,-5.11,-8.42,-11.60,-11.30,-14.01,-15.03,-22.96
Calhoun County,12013,-5.66,-28.59,-39.91,-1.19,-8.48,11.27,19.85,-11.20,0.62,-8.16,-13.28,-13.56,-17.50,-28.37,-30.95,-21.21,-19.70,-30.18
Charlotte County,12015,-15.71,-20.34,-28.87,-12.45,-10.39,-11.15,-11.49,-2.40,-0.49,11.14,9.12,-1.03,7.56,10.57,5.45,6.61,9.19,2.51
Citrus County,12017,-18.66,-18.92,-22.66,-18.23,-11.07,-14.43,1.75,-8.49,-3.48,-17.14,-21.99,-16.53,-8.03,-10.75,-21.14,-16.48,-17.88,-23.18
Clay County,12019,-3.82,-0.53,-3.51,-1.33,0.51,-3.25,-3.62,4.27,4.49,2.94,9.12,-2.87,-5.98,-8.34,-11.60,-14.09,-20.51,-21.76
Collier County,12021,7.80,8.88,-0.90,-3.89,-3.61,1.06,2.50,6.35,5.79,3.69,-2.02,-11.03,-16.04,-14.30,-19.34,-21.15,-25.32,-27.24
Columbia County,12023,11.58,14.96,-34.87,0.34,12.01,13.41,31.02,19.67,20.24,21.57,1.86,-4.05,-19.98,-1.03,2.14,-12.59,-1.64,-22.26
Miami Dade County,12086,20.39,27.79,19.90,19.72,7.33,3.29,5.81,-0.02,-0.09,-0.91,7.69,4.82,0.29,-2.79,1.36,-5.97,-11.31,-18.86
De Soto County,12027,-9.97,-19.66,-14.53,-19.27,-18.12,-7.00,14.03,27.89,28.55,26.55,29.45,13.65,11.06,-0.56,-1.95,0.30,3.34,-12.95
